adjudicate	mengadili
mysticism	sihir
revolution	revolusi
Nicaraguan	Nicaragua
osseous	bertulang
miner	penambang
nomad	pengembara
cameo	batu bertulisan
ethnography	etnografi
love letter	surat cinta
necessarily	tidak dapat mengelak
politely	dengan sopan
alphabetize	mengabjadkan
nu	nu
Coma Berenices	Coma Berenices
Cossack	Bangsa Cossack
sodium bicarbonate	soda kue
tax-exempt	bebas pajak
livestock	ternak
helpful	sebagai penolong/musik
man	laki-laki
pigeon	merpati
complaint	tuntutan
inner	tersembunyi
armistice	gencatan
description	deskripsi
grouping	jenis
mistake	kesalahan
vicinity	lingkungan
hold on	menanti
procreate	melahirkan
pinna	telinga
ordnance	artileri
warp	mengubah
boarding	keberangkatan
Pilsen	Republik Ceko
collaboration	kerja sama/kolaborasi
rightful	sah
cowboy	koboi
overload	beban lebih
articulated	bersendi
digressive	kelok-kelok
spore	spora
abbess	kepala biarawati
nicker	meringkik
Moroccan	Morocco
relativism	relativisme
physiography	geografi fisik
Phrygia	Frigia
Brest	Brest
Thanksgiving	Hari Pengucapan Syukur
zebra crossing	zebra cross
bug	kumbang
heavy	berat
burden	beban
extremely	sekali
acetic acid	asam asetat
BASIC	dasar
insignificant	tiada berarti
year	tahun
Macau	Makau
scrutinize	melihat dengan teliti
selective	selektip
works	pabrik
abbreviation	singkatan
replication	replikasi
blueprint	bagan
disco	diskotik
appraisal	pendapat
megaphone	megafon
umpire	wasit
slingshot	ketapel
peon	kuli
asceticism	asketisme
upfront	di depan
sexton	koster
horny	bertanduk
auditory	akustis
dingo	dingo
bedspring	kasur pegas
faun	dewa Romawi
Kinshasa	Kinshasa
Bergen	Bergen
Rhode Island	Little Rhody
taxable	bercukai
birth	kelahiran
armed forces	angkatan laut
regardless	terpaksa
go	pergi
shore	pantai
fake	palsu
possession	milik
gun	senapan
Egyptian	Mesir
febrile	panas
center of gravity	pusat gravitasi
cement	semen
postdate	ikut
embarrassment	malu
hairbrush	sikat rambut
shopkeeper	pedagang
philosopher	filsuf
spindle	kumparan
stamen	abortif
onyx	hitam-arang
foster child	anak angkat
naturism	nudis
John the Baptist	Yohanes Pembaptis
concaveness	kecekungan
no doubt	kemungkinannya
hairgrip	tusuk konde
cleanliness	kebersihan
Circinus	Circinus
pyramid	limas
lipoid	lipid
Austronesian	Austronesia
inter	tanam
serious	serius
awkward	kaku
haste	ketergesaan
soul	jiwa
yesterday	kemarin
helicopter	helikopter
vaporize	hilang
New Testament	Perjanjian Baru
pathway	jalan setapak
diminutive	kecil
lonely	sunyi
literature	kesusasteraan
compliment	pujian
hidden	sembunyi
grey wolf	serigala
oyster	tiram
sandy	berpasir
zilch	kosong
anoint	membasahi/menggosok
imperialist	imperial
heirloom	pusaka
altruistic	tak egois
argon	argon
enrollee	menulis/mengukir/menggores
Indian summer	merakhirnya musim gugur
Christmas Eve	Malam Hari Natal
vibraphone	vibrafon
ballot box	kotak suara
iced tea	es teh
high technology	teknologi tinggi
Charybdis	Kharibdis
Cronus	Cronus
endosperm	endosperma
acidification	pengasaman
encapsulation	enkapsulasi
accounting	akunting
punctual	tepat waktu
statement	pernyataan
virgin	perawan
spark	percikan
Republic of Estonia	Estonia
role	peranan
Brescia	Itali
button	kancing
citizenship	kewarganegaraan
coup	perebutan kekuasaan
highchair	kursi
unveil	buka
screw up	mendongkrak
laborious	sangat meletihkan
gendarme	polisi
Sicily	Sisilia
possessive case	cemburu
whence	dari mana
poisoning	gangguan
never	tidak pernah
collapsible	lipat
spoiler	beberan
receivership	kebangkrutan
purification	pemurnian
imitator	peniru
lamentation	ratapan
blood vessel	pembuluh darah
anal sex	semburit
gallows	tiang gantungan
actinium	aktinium
transitive	mengenai peralihan
razorbill	burung auk
chiropractor	orang yang mengurut tulang
impressively	setengah memaksa
hospitalize	mengopname
meddler	pengusik
deed	kegiatan
fetch	ambil
deluge	banjir
wintry	dingin
wallet	dompet
bad luck	celaka
boss	bos
further	sambung
extinct	punah
covering	alas
Bronze Age	Zaman Perunggu
Reading	bacaan
rain buckets	mengalir
Tibetan	Tibet
furrow	alur
catechism	katekismus
preconception	prasangka
cadastral	mengenai pendaftaran tanah
pervasive	dapat meresap
adhesive tape	selotip
telegraphic	telegraf
epistemology	epistemologi
supreme court	Mahkamah Agung
American	Bahasa Inggris Amerika
Uppsala	Uppsala
Plough	bintang biduk
Diogenes	Diogenes
decimal fraction	perpuluhan
natural number	bilangan asli
mem	mim
airflow	angin
come back	kembali
humankind	manusia
thread	benang
aggression	kasar
humidity	kelembapan
define	memandang
umbilicus	pusar
vogue	aliran
subordinate	asisten
grill	memanggang
aphrodisiac	seksi
membranophone	gendang
flatulence	kentut
calumniate	memfitnah
fragility	kelemahan
costa	tulang rusuk
divan	dipan
ringmaster	pemimpin upacara
lyricist	biduan
well-endowed	montok
hyperbole	melebih-lebihkan
paperboy	tukang koran
potash	garam abu
henna	pohon pacar
outbuilding	lampiran/paviliun
broomstick	gagang sapu
smokehouse	rumah asap
cartography	kartografi
Cleopatra	Cleopatra
gutta-percha	getah perca
vitamin C	asam askorbat
American football	sepak bola amerika
ozone layer	lapisan ozon
soliton	soliton
double bed	tempat tidur ganda
spirits	alkohol
hurricane	badai
speck	benih
gussy up	bangun
journalist	jurnalis
goat cheese	keju
eat	makan
human being	manusia
purify	cuci
mop up	menutup
white pepper	merica
government	pemerintah
martial	perang
poetry	puisi
trait	sifat
algebraical	aljabar
publication	penerbitan
justice	keadilan
psychic	jiwa
speciality	keunggulan
shiv	pisau
Isle of Man	Pulau Man
pungent	pedas
maroon	maron
press release	siaran
armoury	lambang
china	porselin
incontinent	tidak dapat menahan diri
eunuch	orang kasim
frigate	Fregat
panacea	penyelesaian
junta	golongan kecil
deftly	dengan cakap
Coral Sea	Laut Koral
extemporize	berimprovisasi
Napoleon	Bonaparte
mastitis	mastitis
dioxide	dioksida
natural language	bahasa
faithful	setia
select	memilih
Brazil	Brasil
traffic circle	bundaran
omnibus	bus
staple	dasar
too	juga
first	pertama
one-dimensional	lurus
shift	bertukar
espouse	menikah
rapid eye movement	rem
ten	sepuluh
heft	mengangkat
generation	generasi
infect	mengenai
satire	satire
pursuer	pemburu
snotty	galak
combination lock	kunci kombinasi
grater	alat parutan
hookah	pipa air
snowman	boneka salju dengan hujan salju
cytology	sitologi
stranded	kandas
hand job	coli
Jude	Surat Yudas
campground	perkemahan
Tropic of Cancer	Tropik Cancer
Brunswick	Braunschweig
Abuja	Abuja
ice fog	kabut es
principality	kepangeranan
chamber music	musik kamar
grade	derajat
thrive	bagus
sweet	manis
grow	tumbuh
objective	sasaran
spook	penyingkapan
laugh	tertawa
label	etiket
infiltrate	menyelami
conductor	kondektur
X-ray	sinar-X
forerunner	pelopor
mangrove	bakau
frustrated	frustrasi
spam	spam
Andromeda	Andromeda
Redeemer	Kristus
individualism	individualisme
orthodox	ortodoks
fatwa	fatwa
canorous	merdu
decapitation	pancung
Gemini	Gemini
sinus	sinus
multimedia	multimedia
Riyadh	Riyadh
Pierrot	Pierrot
Empedocles	Empedocles
verbatim	verbatim
perpetual	abadi
accommodate	bantu
worried	bimbang
fast	cepat
squid	cumi-cumi
kick the bucket	meninggal
naive	jujur
verdigris	lumut
call off	membatalkan
defer	menunda
wobble	goyang
pound cake	telur
politeness	kesopanan
Komodo dragon	komodo
prose	prosa
aleatory	acak
pesky	menjengkelkan
ringleader	pengacau
gallantry	keperkasaan
consultative	konsultatif
heresy	ajaran sesat
disquietude	kecemasan
untouched	tanpa cedera
periodically	dengan sebentar-sebentar
depositor	penyimpan
black sheep	orang yang sial terus
as such	yang didalam
monkey wrench	kunci setel
rhetoric	retorik
battle cry	seruan perang
go back on	memungkiri
Pekingese	Pekines
urticaria	alergi
rosette	bros mawar
Hippocrates	Hippokrates
available	tersedia
moistness	basah
abandoned	berangkat
specify	memerinci
shy	malu
scrupulous	cermat
triskaidekaphobia	triskaidekafobia
Chisinau	Kishinev
arithmetician	komputer
institute	yayasan
nullify	membatalkan
fend off	menjauhi
mainstay	tulang belakang
extraneous	asing
pathetic	azab
constitution	konstitusi
starchy	tawar
proponent	adpokat
distillate	minuman keras
pension	pensiun
balloonist	pilot
solemn	sungguh-sungguh
divorcee	janda
fascist	fasis
excommunication	cercaan
retention	penyimpanan
promontory	tanjung
salivate	mengeluarkan air liur
poisoner	peracun
porcelain	tembikar
detector	sensor
huddle	berlonggok
symposium	simposium
Kirkuk	Kirkuk
Janus	Janus
surplice	surplis
port	pelabuhan
idiot	orang bodoh
timber	kayu
kitty-cat	kucing
two-piece	pakaian renang
sniffle	minuman
pulmonary	berkenaan dengan paru-paru
adhesive	lem
Chuvash	Chuvash
Xhosa	Xhosa
autocrat	penguasa mutlak
sheepcote	kandang
penknife	pisau lipat
cocoyam	talas
tone of voice	intonasi
slaver	mengiler
tinkle	berdering
interdependent	saling tergantung
prison guard	sipir
cash register	mesin penghitung uang masuk
phonograph	gramofon
Lesser Antilles	Antillen Kecil
neurotransmitter	neurotransmiter
Julian calendar	Kalender Julius
Valentine's Day	Hari Valentine
trachea	trakea
wind	angin
caption	subjudul
soft	lembut
mi	tengah malam
steer	bawa
splash	cebur
inhalation	cita-cita
flick	jentik
deacon	guru
convert	bertukar
narrow	sempit
pronto	seketika
uncivilized	biadab
obscenity	kecabulan
aspersion	fitnah
exile	orang buangan
rap	ketuk
testing	godaan
addle	tak keruan
clam	kerang
bypass	lewat
guttle	melahap
largess	keluhuran budi
wrinkle	garis
pollute	infeksi
Sumatra	Sumatra
lemur	kukang
exegesis	penafsiran
unjustly	keliru/salah
condole	ikut berduka cita
ulcerate	memborok
acoustic guitar	gitar akustik
chronology	kronologi
tricarboxylic acid cycle	Siklus Krebs
correct	benar
literal	harfiah
rest	istirahat
undecided	bimbang
beast	hewan
timid	takut
lust	keinginan
fountainhead	hulu
grandfather	kakek
thin	tipis
showcase	kotak
electric chair	kursi listrik
sanctify	membersihkan
genitive	milik
adherent	pengikut
chestnut	chestnut
mournful	sedih
jelly bean	kacang jeli
novella	cerita pendek
halve	membagi
sapodilla	sawo
somersault	salto
pandemic	tersebar luas
ethnology	etnologi
homophone	homofon
green bean	jenis kacang
electrify	menyetrum
piracy	penjiplakan
ideograph	ideogram
Tsaritsyn	Stalingrad
Thaddaeus	Judas
lactoflavin	riboflavin
Pavo	Pavo
1 Chronicles	Kitab 1 Tawarikh
jet lag	mabuk pascaterbang
shamrock	shamrock
pack	bungkus
numeral	angka
grace	nikmat
joint	sendi
hobby	hobbi
deride	hina
slander	fitnah
room	kamar
steady	memperkuat
inscribe	memasukkan
saturated	basah kuyup
emblem	tanda
workroom	workshop
Homer	Homerus
jaundice	kegetiran
greens	sayur
screech	geret
impale	tusuk
kitten	anak kucing
carbuncle	bisul
mike	mikropon
solitaire	kesabaran
cornice	renda
cohesion	kohesi
court of law	mahkamah
redox	oksidasi
double eagle	elang laut
electron microscope	mikroskop elektron
imperiousness	keangkuhan
belly dance	tari perut
civil law	hukum perdata
deuterium	deuterium
geochemistry	geokimia
Job	Ayyub
alma mater	almamater
Virginia	Virginia
queen	ratu
push	dorong
rotary	bundaran
pattern	pola
radical	radikal
Indian	indian
Indonesia	Indonesia
frighten	menakut-nakuti
beset	mengelilingi
faeces	tahi
liturgical	liturgis
clarity	kejelasan
gradient	tanjakan
ticket office	loket
drain	gorong-gorong
fairy tale	dongeng
hobo	pengapung
nonalcoholic	ringan
carpus	pergelangan tangan
piranha	pencuri
observer	peninjau
cancelled	batal
durian	durian
equalizer	equaliser
balaclava	masker
protactinium	protaktinium
grammarian	ahli tatabahasa
Latium	Latium
polymerization	polimerisasi
exogamy	eksogami
skink	mengkarung
strangely	anehnya
effort	usaha
chatter	mengobrol
bunk	tempat tidur
clean	bersih
sufficiently	agak
frontal	dahi
palace	istana
gritty	kasar
plaza	lapangan
shelf	rak
pop the question	memberi
trump	mengatasi
New Guinea	Pulau Irian
Turk	orang turki
dispersal	penyebaran
policeman	polisi
Caucasian	putih
apiece	seluruhnya
scorch	memanggang
underbrush	belukar
roller	gulung
snorkel	topeng gas
anorak	jaket
critic	kritik
rill	anak sungai
abreast	secara serempak
contributor	pelanggan
nonconformity	keadaan tidak mau menurut
primogeniture	hak anak yang sulung
cassowary	kasuari
filly	anak kuda betina/gadis lincah
black pudding	black pudding
Aristotelianism	Aristotelianisme
Zoroastrian	Zoroastrianisme
South Dakota	Coyote State
lender	ceti
dyslexia	disleksia
gel	koloid
contraption	piranti
capricious	licik
together	bersama
salient	besar
handsome	tampan
handbag	tas tangan
Islamic Republic of Iran	Iran
writer	penulis
moth-eaten	lama
Sea of Marmara	Laut Marmara
defy	lawan
turnip	lobak
amaze	mengherankan
parrot	nuri
target	sasaran
elusive	payah
twofold	berganda
boxers	celana pendek
consul	konsul
obstruction	halangan
inculcate	menanam
convene	mengadakan
molecular	molekular
politics	politik
dreadful	menghebohkan
sacristy	sakristi
Pyrrhic victory	kemenangan
lees	ampas
triclinic	triklin
lumen	lumen
criminology	ilmu sosial
Pegasus	sembrani
Asmara	Asmara
Pyrenees	Pirenia
Pliocene	Pliosen
prion	prion
contrivance	dalih
system	sistem
little girl	anak
sourly	asam
avail	bantu
channel	mengalihkan jalan air
advanced	bekas
gossamer	bening
Bolzano	Bolzano
underage	kecil
conformation	kepatuhan
startle	terkejut
suggest	mengusulkan
portentous	menghebohkan
science	ilmu
scene	adegan
morass	rawa
close-fitting	sempit
rigorous	rapi
belie	menyangkal
united	bersatu
soluble	larut
amphoteric	ion basam
gym	ruang olah raga
intermittency	kecenderungan waktu tertentu
mendacity	kebiasaan berdusta
central bank	bank sentral
country of origin	tanah tumpah darah
threatened	terancam
talk show	gelar wicara
Klondike	Klondike
Reims	Reims
Skopje	Skopje
anthill	sarang semut
goal	sasaran
load	muat
arid	gersang
sugar	gula
breakdown	bantai
invite	mengundang
imitation	palsu
attached	menyayangi
bullock	sapi
awhile	sebentar
atheistic	fasik
divorce	cerai
chancellor	duta
jocund	gembira
compost	kotoran
explosive	bahan peledak
urn	bak
elision	kekecualian
squirrel away	menumpukkan
paramilitary	milisi
pinafore	celemek
Ten Commandments	Sepuluh Perintah Allah
gentian	gentian
malar bone	tulang pipi
past tense	kala lampau
clothier	penjual pakaian laki laki
fundamentalist	asasi
macula	makula
Tasman Sea	Laut Tasman
Iphigenia	Ifigeneia
naturalist	naturalis
eternal	abadi
stinky	bau
donate	beri
ace	as
golden	emas
virtue	budi
membership	keanggotaan
khaki	kesemek
wipe	hapus
farm	acung
pursue	mengejar
Vatican City	Vatikan
waterfall	air terjun
airfield	lapangan terbang
roc	rok
beshrew	sumpah
enthusiast	penggemar
emergence	perkembangan
popularity	ketenaran
believer	orang Kristen
wig	wig
blood transfusion	transfusi
thrift	sifat berhemat
crucifixion	salib
hebetude	halangangan
winged bean	kecipir
desktop	latar belakang
fuchsia	magenta
imprecation	pengutukan
centaur	kentaur
blankly	mentah-mentah
reforest	menyetok ulang
overnight	semalam
Miller	Arthur Miller
methanol	metanol
prominence	bengkak
bourgeois	borjuis
mug	cangkir
defunct	dalam damai
hug	peluk
Byzantine	perang
rye bread	roti
apropos	tepat
spinal column	tulang belakang
blink	tutup
invitation	undangan
armor	zirah
yammer	berteriak
fermion	fermion
inexorable	tak dapat diubah
sunset	matahari terbenam
famous	terkenal
secrete	menyekresi
detour	rute lain
landscape	bentang
panorama	pemandangan
covetousness	ketamakan
besot	membingungkan
violin	biola
acre	ladang
son-in-law	menantu
curium	kurium
caesium	sesium
contumelious	suka berbantah
shirk	pergi tidur
humanism	humanisme
tanker	kapal tangki minyak
reliquary	kotak penyimpan peninggalan
alphabetic	alfabetis
square bracket	kurungan
Holocene	Holosen
kelvin	kelvin
Gujarati	Gujarati
part	bagian
Saudi Arabia	Arab Saudi
building block	batu bata
canary	kenari
over	habis
daytime	siang
effectiveness	keampuhan
lens	lensa
dredge	mengeruk
asphyxiate	meninggal
tendon	urat
paean	himne
sometimes	kadang-kadang
helper	pembantu
atelier	bengkel
studio	sanggar
intrepid	berani
rheumatism	encok
Creator	Tuhan
executrix	pelaksana
suntan	jemur
candlenut	kemiri
goalkeeper	penjaga gawang
jot	cubit
sleeping	sofandi
disfavour	penolakan
heliport	lapangan helikopter
rudeness	kekasaran
peripatetic	mengembara
hypotonic	hipotonik
Thessaloniki	Salonica
Almaty	Alma-Ata
Ligurian Sea	Laut Liguria
igneous rock	batuan beku
pointillism	pointillisme
Antarctic Ocean	Samudra Selatan
final	terakhir
orphan	anak yatim
subsequently	berikutnya
Eurasia	Eurasia
stark	telanjang
parcel	bungkusan
nag	minta
sweetly	manis
visual	penglihatan
invigorate	memberikan
immure	menahan
Christmas Day	Natal
transaction	transaksi
Ramadan	Ramadan
spooky	takut
indictment	tuduhan
survival of the fittest	kehidupan
Plato	Plato
battery	baterai
mannequin	patung
post office	kantor pos
Messiah	Mesias
guarantor	penjamin
mockery	sindiran
cynic	sinis
stained	noda
deliberately	dengan sengaja
ecclesiastic	tentang gereja Kristen
cleavage	pembelahan
cirrus	awan tipis
embalm	membalsem
backstage	pentas belakang
stalagmite	stalagmit
Erasmus	Desiderius Erasmus
gillyflower	anyelir
specific gravity	berat jenis
hermeneutics	hermeneutik
monstrous	aneh
parentage	keluarga
departure	keberangkatan
white rice	padi putih
postmodernism	filsafat
street	jalan
get out	keluar
Kongo	Kongo
silver screen	layar
slow down	lembap
greedy	rakus
fudge	meniru
server	peladen
abolition	pembatalan
performer	aktor
variegated	berwarna-warni
quota	jatah
infallible	pasti
acculturation	akulturasi
cooking	memasak
time deposit	deposito
slanderous	berbahaya/kejam
nationwide	di seluruh negara
signer	yang turut menandatangani
weakling	orang tidak bersemangat
acorn	buah pohon ek
spare time	waktu terluang
winch	alat angkat
Belfast	Belfast
AIDS	AIDS
cloaca	kloaka
ovulation	ovulasi
longshoreman	buruh galangan kapal
neuroscience	neurosains
Sydney	Sydney
terrestrial	bumi
heed	perhatian
lane	gang
proposition	dalil
nightshade	kentang
depiction	lukisan
take up	mengangkat
gruelling	sangat meletihkan
administration	aba-aba
carefulness	perhatian
diamond	intan
locust	belalang
Dublin	Dublin
peace of mind	keamanan
barbarism	kekejaman
tweak	mencubit
orchestra	orkes
ulna	tulang hasta
sailboat	kapal layar
instrumentalist	pemusik
pestle	alu
impasse	jalan buntu
goodness	kebaikan
successive	percontohan
grammatical	bersifat tatabahasa
doomed	terkutuk
recluse	penyendiri
amplifier	amplifier
hyphen	tanda penghubung
Georgetown	George Town
Anubis	Anubis
gastrulation	gastrulasi
meningitis	radang selaput otak
slang	bahasa
prospect	harapan
sextet	paduan enam
wolf	serigala
power	kuasa
loot	kubis
come upon	mencapai
tacky	yang berkilat-kilat
